, TLR, VEGF, JAK-STAT, TGFB, IL-1, MAPK_only, MAPK_PI3K, Wnt, H2O2, TNFa, PI3K_only
1163,0.0,2.0,1.0,5.0,3.0,4.0,7.0,6.0,8.0,9.0,10.0
1212,0.0,4.0,2.0,1.0,3.0,5.0,8.0,6.0,9.0,7.0,10.0
1261,0.0,2.0,4.0,3.0,1.0,5.0,7.0,6.0,8.0,9.0,10.0
1310,0.0,2.0,1.0,4.0,3.0,5.0,6.0,8.0,7.0,9.0,10.0
1359,0.0,4.0,2.0,1.0,3.0,5.0,8.0,9.0,6.0,7.0,10.0
1408,0.0,1.0,4.0,2.0,3.0,5.0,7.0,6.0,8.0,9.0,10.0
1457,0.0,2.0,1.0,4.0,3.0,5.0,6.0,9.0,8.0,7.0,10.0
1506,0.0,2.0,4.0,1.0,3.0,7.0,6.0,5.0,9.0,8.0,10.0
1555,1.0,4.0,2.0,0.0,3.0,8.0,5.0,6.0,7.0,9.0,10.0
1604,0.0,3.0,2.0,1.0,4.0,6.0,5.0,7.0,10.0,8.0,9.0
1653,0.0,4.0,1.0,2.0,3.0,6.0,5.0,8.0,9.0,7.0,10.0
1702,0.0,4.0,2.0,1.0,3.0,7.0,5.0,6.0,9.0,8.0,10.0
1751,1.0,3.0,2.0,0.0,4.0,8.0,5.0,6.0,9.0,7.0,10.0
1800,0.0,5.0,1.0,4.0,3.0,6.0,2.0,7.0,9.0,8.0,10.0
1849,1.0,3.0,2.0,0.0,4.0,8.0,5.0,7.0,9.0,6.0,10.0
1898,1.0,3.0,2.0,0.0,4.0,7.0,5.0,6.0,8.0,9.0,10.0
1947,0.0,1.0,4.0,2.0,3.0,7.0,5.0,8.0,9.0,6.0,10.0
1996,1.0,0.0,2.0,3.0,5.0,6.0,8.0,4.0,7.0,9.0,10.0
2045,3.0,0.0,1.0,2.0,4.0,6.0,8.0,5.0,7.0,9.0,10.0
2094,0.0,1.0,2.0,3.0,4.0,8.0,6.0,7.0,5.0,9.0,10.0
2143,0.0,1.0,2.0,3.0,5.0,7.0,9.0,6.0,4.0,8.0,10.0
2192,0.0,1.0,2.0,3.0,5.0,7.0,9.0,4.0,6.0,8.0,10.0
2241,2.0,0.0,1.0,4.0,3.0,5.0,6.0,8.0,7.0,9.0,10.0
2290,1.0,0.0,2.0,3.0,4.0,6.0,8.0,5.0,7.0,9.0,10.0
2339,1.0,0.0,2.0,3.0,5.0,7.0,8.0,4.0,6.0,9.0,10.0
2388,0.0,1.0,2.0,3.0,4.0,7.0,8.0,5.0,6.0,9.0,10.0
2437,0.0,1.0,2.0,3.0,4.0,6.0,8.0,5.0,7.0,9.0,10.0
2486,2.0,1.0,0.0,4.0,3.0,5.0,8.0,7.0,6.0,9.0,10.0
2535,1.0,2.0,0.0,4.0,3.0,5.0,8.0,7.0,9.0,6.0,10.0
2584,1.0,0.0,2.0,4.0,3.0,5.0,8.0,7.0,9.0,6.0,10.0
2633,0.0,3.0,1.0,4.0,2.0,5.0,6.0,8.0,9.0,7.0,10.0
2682,0.0,3.0,1.0,4.0,2.0,6.0,5.0,9.0,8.0,7.0,10.0
2731,0.0,1.0,3.0,5.0,2.0,4.0,6.0,9.0,8.0,7.0,10.0
2780,0.0,2.0,1.0,4.0,3.0,5.0,7.0,6.0,8.0,9.0,10.0
2829,0.0,3.0,1.0,4.0,2.0,5.0,6.0,9.0,8.0,7.0,10.0
2878,1.0,2.0,0.0,4.0,3.0,7.0,6.0,5.0,8.0,9.0,10.0
2927,2.0,1.0,0.0,3.0,4.0,5.0,6.0,8.0,9.0,7.0,10.0
2976,0.0,1.0,2.0,3.0,5.0,8.0,4.0,7.0,9.0,6.0,10.0
3025,2.0,0.0,3.0,1.0,5.0,6.0,4.0,7.0,10.0,8.0,9.0
3074,1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0
3123,0.0,1.0,3.0,4.0,2.0,5.0,8.0,6.0,9.0,7.0,10.0
3172,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0
3221,0.0,1.0,2.0,3.0,5.0,4.0,6.0,9.0,7.0,8.0,10.0
3270,2.0,1.0,0.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
3319,0.0,1.0,4.0,2.0,6.0,3.0,5.0,9.0,8.0,7.0,10.0
3368,0.0,2.0,1.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
3417,0.0,2.0,1.0,3.0,4.0,6.0,5.0,7.0,9.0,8.0,10.0
3466,0.0,1.0,3.0,4.0,2.0,6.0,5.0,9.0,7.0,8.0,10.0
3515,0.0,1.0,3.0,2.0,6.0,5.0,4.0,8.0,7.0,9.0,10.0
3564,0.0,3.0,1.0,2.0,4.0,6.0,5.0,9.0,8.0,7.0,10.0
3613,0.0,2.0,3.0,1.0,4.0,6.0,5.0,8.0,7.0,9.0,10.0
3662,0.0,1.0,4.0,3.0,2.0,6.0,5.0,8.0,7.0,9.0,10.0
3711,0.0,1.0,4.0,3.0,2.0,5.0,6.0,8.0,7.0,9.0,10.0
3760,0.0,1.0,3.0,2.0,4.0,7.0,5.0,10.0,8.0,6.0,9.0
3809,0.0,1.0,4.0,2.0,3.0,6.0,5.0,7.0,9.0,8.0,10.0
3858,0.0,1.0,3.0,4.0,2.0,5.0,6.0,8.0,7.0,9.0,10.0
3907,0.0,2.0,3.0,1.0,7.0,5.0,4.0,9.0,6.0,8.0,10.0
3956,1.0,0.0,3.0,5.0,4.0,8.0,6.0,2.0,7.0,9.0,10.0
4005,0.0,1.0,2.0,3.0,5.0,9.0,8.0,4.0,6.0,7.0,10.0
4054,1.0,0.0,2.0,3.0,4.0,5.0,8.0,7.0,6.0,9.0,10.0
4103,0.0,1.0,2.0,3.0,4.0,8.0,9.0,7.0,6.0,5.0,10.0
4152,1.0,0.0,2.0,3.0,5.0,4.0,9.0,7.0,6.0,8.0,10.0
4201,0.0,1.0,3.0,2.0,4.0,7.0,6.0,5.0,8.0,9.0,10.0
4250,0.0,1.0,2.0,3.0,6.0,5.0,7.0,9.0,4.0,8.0,10.0
4299,1.0,0.0,2.0,3.0,5.0,4.0,9.0,8.0,7.0,6.0,10.0
4348,0.0,1.0,2.0,3.0,4.0,8.0,9.0,6.0,5.0,7.0,10.0
4397,2.0,0.0,1.0,3.0,5.0,7.0,8.0,4.0,6.0,9.0,10.0
4446,2.0,0.0,3.0,1.0,4.0,6.0,5.0,7.0,10.0,8.0,9.0
4495,0.0,1.0,2.0,3.0,4.0,5.0,9.0,8.0,7.0,6.0,10.0
4544,0.0,1.0,4.0,2.0,3.0,6.0,7.0,5.0,10.0,8.0,9.0
4593,3.0,1.0,2.0,0.0,4.0,5.0,7.0,6.0,9.0,8.0,10.0
4642,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0
4691,0.0,1.0,4.0,2.0,3.0,6.0,8.0,5.0,10.0,7.0,9.0
4740,0.0,3.0,1.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0
4789,0.0,1.0,2.0,4.0,3.0,5.0,6.0,8.0,7.0,9.0,10.0
4838,0.0,1.0,2.0,3.0,4.0,5.0,7.0,6.0,9.0,8.0,10.0
4887,0.0,1.0,4.0,2.0,3.0,5.0,7.0,6.0,8.0,9.0,10.0
