, Wnt, JAK-STAT, IL-1, PI3K_only, MAPK_PI3K, TLR, TGFB, VEGF, H2O2, MAPK_only, TNFa
1947,1.0,0.0,2.0,4.0,8.0,6.0,5.0,3.0,7.0,9.0,10.0
1996,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,10.0,9.0,8.0
2045,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0
2094,0.0,1.0,2.0,4.0,3.0,6.0,5.0,7.0,10.0,8.0,9.0
2143,0.0,1.0,2.0,5.0,3.0,6.0,4.0,8.0,10.0,7.0,9.0
2192,0.0,1.0,2.0,4.0,3.0,5.0,6.0,8.0,10.0,7.0,9.0
2241,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,8.0,10.0,9.0
2290,1.0,0.0,2.0,4.0,5.0,3.0,7.0,6.0,8.0,9.0,10.0
2339,0.0,1.0,2.0,5.0,3.0,4.0,6.0,7.0,8.0,9.0,10.0
2388,0.0,1.0,2.0,7.0,3.0,5.0,6.0,4.0,9.0,8.0,10.0
2437,0.0,1.0,2.0,4.0,3.0,5.0,7.0,6.0,8.0,9.0,10.0
2486,0.0,1.0,4.0,2.0,6.0,5.0,3.0,7.0,10.0,9.0,8.0
2535,0.0,1.0,2.0,3.0,5.0,7.0,4.0,6.0,10.0,8.0,9.0
2584,0.0,1.0,2.0,3.0,5.0,8.0,6.0,4.0,10.0,7.0,9.0
2633,0.0,1.0,3.0,2.0,6.0,5.0,4.0,7.0,10.0,8.0,9.0
2682,0.0,1.0,2.0,3.0,4.0,6.0,5.0,8.0,10.0,7.0,9.0
2731,0.0,1.0,2.0,4.0,5.0,6.0,3.0,7.0,10.0,8.0,9.0
2780,0.0,1.0,2.0,4.0,3.0,6.0,5.0,7.0,9.0,8.0,10.0
2829,0.0,1.0,2.0,3.0,5.0,8.0,4.0,6.0,10.0,7.0,9.0
2878,0.0,1.0,2.0,5.0,4.0,7.0,3.0,6.0,9.0,8.0,10.0
2927,0.0,1.0,2.0,3.0,5.0,7.0,4.0,6.0,9.0,8.0,10.0
2976,1.0,0.0,2.0,5.0,3.0,7.0,6.0,4.0,9.0,10.0,8.0
3025,0.0,1.0,2.0,7.0,3.0,5.0,6.0,4.0,8.0,10.0,9.0
3074,0.0,1.0,2.0,8.0,3.0,5.0,4.0,6.0,7.0,9.0,10.0
3123,1.0,0.0,2.0,5.0,3.0,7.0,6.0,4.0,8.0,10.0,9.0
3172,0.0,1.0,2.0,5.0,3.0,4.0,7.0,6.0,10.0,9.0,8.0
3221,1.0,0.0,2.0,5.0,3.0,6.0,4.0,7.0,9.0,10.0,8.0
3270,1.0,0.0,2.0,6.0,3.0,4.0,5.0,7.0,8.0,10.0,9.0
3319,1.0,0.0,2.0,7.0,4.0,3.0,6.0,5.0,9.0,10.0,8.0
3368,1.0,0.0,2.0,8.0,3.0,6.0,5.0,4.0,7.0,10.0,9.0
3417,0.0,1.0,2.0,7.0,3.0,4.0,6.0,5.0,10.0,8.0,9.0
3466,0.0,1.0,2.0,5.0,3.0,6.0,7.0,4.0,9.0,8.0,10.0
3515,1.0,2.0,0.0,3.0,4.0,7.0,5.0,6.0,8.0,9.0,10.0
3564,1.0,0.0,2.0,3.0,4.0,7.0,5.0,6.0,9.0,10.0,8.0
3613,0.0,1.0,2.0,3.0,6.0,7.0,4.0,5.0,9.0,10.0,8.0
3662,0.0,1.0,2.0,3.0,4.0,7.0,5.0,6.0,9.0,8.0,10.0
3711,1.0,0.0,2.0,3.0,4.0,7.0,6.0,5.0,9.0,8.0,10.0
3760,0.0,2.0,1.0,3.0,5.0,7.0,6.0,4.0,10.0,9.0,8.0
3809,0.0,1.0,2.0,4.0,3.0,5.0,7.0,6.0,9.0,10.0,8.0
3858,0.0,1.0,2.0,4.0,3.0,7.0,5.0,6.0,8.0,10.0,9.0
3907,1.0,0.0,2.0,4.0,3.0,7.0,6.0,5.0,8.0,9.0,10.0
3956,0.0,1.0,2.0,6.0,4.0,3.0,7.0,5.0,8.0,10.0,9.0
4005,1.0,0.0,2.0,5.0,4.0,3.0,7.0,6.0,8.0,10.0,9.0
4054,0.0,1.0,2.0,3.0,7.0,5.0,6.0,4.0,8.0,10.0,9.0
4103,0.0,1.0,2.0,7.0,5.0,3.0,6.0,4.0,8.0,10.0,9.0
4152,0.0,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,10.0,9.0
4201,0.0,1.0,2.0,5.0,3.0,4.0,7.0,6.0,8.0,9.0,10.0
4250,0.0,1.0,2.0,3.0,4.0,6.0,7.0,5.0,8.0,10.0,9.0
4299,0.0,1.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,10.0,9.0
4348,0.0,1.0,2.0,4.0,3.0,7.0,6.0,5.0,8.0,9.0,10.0
4397,0.0,1.0,2.0,6.0,3.0,5.0,4.0,8.0,7.0,10.0,9.0
4446,0.0,1.0,2.0,5.0,4.0,6.0,3.0,7.0,8.0,10.0,9.0
4495,0.0,1.0,2.0,4.0,5.0,6.0,3.0,7.0,8.0,9.0,10.0
4544,0.0,1.0,2.0,4.0,5.0,6.0,3.0,7.0,9.0,10.0,8.0
4593,1.0,0.0,2.0,3.0,7.0,6.0,4.0,5.0,10.0,8.0,9.0
4642,0.0,1.0,3.0,4.0,5.0,7.0,2.0,6.0,10.0,8.0,9.0
4691,0.0,1.0,2.0,3.0,7.0,5.0,4.0,6.0,9.0,8.0,10.0
4740,0.0,1.0,2.0,3.0,5.0,6.0,4.0,7.0,8.0,10.0,9.0
4789,0.0,1.0,2.0,4.0,5.0,7.0,3.0,6.0,8.0,9.0,10.0
4838,0.0,1.0,2.0,4.0,5.0,6.0,3.0,7.0,10.0,8.0,9.0
4887,0.0,2.0,1.0,4.0,5.0,7.0,3.0,6.0,8.0,9.0,10.0
